id,"person_id",gender,education,race,age,income,iri_perspective_taking,iri_personal_distress,iri_fantasy,iri_empathatic_concern,personality_openess,personality_conscientiousness,personality_extraversion,personality_agreeableness,personality_stability
0,"p000",2,6,1,26,65000,4.428571428571429,1.4285714285714286,2.857142857142857,4.571428571428571,6.5,6,6,7,6
1,"p001",1,2,1,30,55000,3.2857142857142856,1.2857142857142858,2.7142857142857144,3.7142857142857144,5,6.5,5,6,7
2,"p002",1,2,1,30,30000,4,1.5714285714285714,4,3.857142857142857,6.5,6,4,4,5.5
3,"p003",2,6,6,55,70000,4,2.4285714285714284,2.857142857142857,4,5,4.5,4.5,5,5
4,"p004",2,5,1,58,28000,4.714285714285714,1.2857142857142858,4.571428571428571,5,6,6,6,6,6
5,"p005",2,6,3,22,100000,3.7142857142857144,2.857142857142857,2.5714285714285716,3.4285714285714284,4.5,5.5,3.5,6,6
6,"p006",2,5,2,27,20000,4.428571428571429,2.857142857142857,3.4285714285714284,4.428571428571429,7,7,2,6.5,6
7,"p007",1,4,1,25,29000,4.857142857142857,3.142857142857143,2.5714285714285716,4.857142857142857,6,6,5.5,6.5,3
8,"p008",2,4,1,28,21000,4.142857142857143,3.2857142857142856,4.428571428571429,3.5714285714285716,5,7,1,5,3.5
9,"p009",1,2,5,29,44000,3.7142857142857144,3,3.4285714285714284,3.4285714285714284,6,5.5,4.5,6,5
10,"p010",2,6,1,62,29000,3.5714285714285716,4,2.142857142857143,4.428571428571429,2.5,6.5,1,6.5,2
11,"p011",1,6,1,47,105000,4.428571428571429,1.4285714285714286,4.571428571428571,4.714285714285714,6.5,6,6,4.5,4
12,"p012",1,6,1,36,40000,5,1.7142857142857142,3.4285714285714284,5,7,7,7,7,7
13,"p013",1,6,3,33,63000,4.142857142857142,1,2.071428571428571,4.214285714285714,7,7,5.75,6,7
14,"p014",1,6,1,40,140000,3.7142857142857144,2,2.5714285714285716,2.4285714285714284,5.5,6,4,4,5.5
15,"p015",1,7,1,28,105000,5,1.1428571428571428,3.7142857142857144,4.714285714285714,6,7,6,7,7
16,"p016",2,6,1,25,60000,4.142857142857143,1.7142857142857142,3.857142857142857,3.4285714285714284,5,6,2,5,6
17,"p017",1,2,2,33,78000,4.428571428571429,1.8571428571428572,4.428571428571429,5,7,7,3,7,7
18,"p018",1,5,1,30,10000,3.4285714285714284,3.142857142857143,3.4285714285714284,3.2857142857142856,4,4,4,4.5,4
19,"p019",2,2,1,21,20000,2.7142857142857144,3,3.142857142857143,3.2857142857142856,3,5,5,4,3.5
20,"p020",2,5,1,28,50000,5,4.142857142857143,4.857142857142857,5,6,6,5,4.5,3.5
21,"p021",2,2,1,34,60000,3.142857142857143,4.285714285714286,3.857142857142857,2.142857142857143,3,2.5,2.5,3.5,2
22,"p022",1,6,1,29,85000,4.642857142857142,2.071428571428571,4.142857142857142,4.642857142857142,6.75,6.75,6.75,6.75,7
23,"p023",1,5,1,40,25000,5,1.4285714285714286,4.857142857142857,4.857142857142857,7,7,7,7,7
24,"p024",1,6,2,32,35000,3.4285714285714284,2.857142857142857,2.857142857142857,2.7142857142857144,5,5.5,2,5.5,4.5
25,"p025",1,3,1,33,58000,3.7142857142857144,2.2857142857142856,3.2857142857142856,4.571428571428571,5.5,6.5,5,6.5,6.5
26,"p026",1,7,1,37,30000,3.7142857142857144,2.4285714285714284,4.428571428571429,5,7,6,1,7,4
27,"p027",1,4,1,34,89000,5,3.4285714285714284,4.714285714285714,4.428571428571429,4,6.5,1,4,4
28,"p028",1,4,2,23,70000,2.2857142857142856,2,3,4.428571428571429,5.5,4,6.5,3.5,5
29,"p029",2,7,1,38,42000,3.4285714285714284,2.7142857142857144,2.5714285714285716,3.857142857142857,3.5,7,6.5,5.5,6.5
30,"p030",1,4,1,29,39000,5,2.2857142857142856,3.2857142857142856,4.142857142857143,6.5,6,1,6,5.5
31,"p031",1,5,1,47,29000,4.571428571428571,2.4285714285714284,5,5,6.5,6.5,7,7,7
32,"p032",2,7,1,46,41000,4.285714285714286,2.857142857142857,4.857142857142857,5,7,4.5,3,6,1
33,"p033",1,6,5,34,36000,4.857142857142857,2.5714285714285716,2.142857142857143,4.571428571428571,3.5,6,2,7,6
34,"p034",2,6,1,40,80000,4.142857142857143,2.4285714285714284,4.428571428571429,4.571428571428571,6,6.5,4,5,2.5
35,"p035",1,6,3,37,40000,4.857142857142857,2,3.4285714285714284,5,5.5,7,1,6.5,6
36,"p036",1,5,1,38,96000,4.428571428571429,2.857142857142857,3,3.857142857142857,5,4,5,5.5,4.5
37,"p037",1,6,1,29,52000,4.571428571428571,2.4285714285714284,4.428571428571429,5,7,6.5,5,6.5,6
38,"p038",2,2,1,34,50000,2.142857142857143,1,1.5714285714285714,2.2857142857142856,3.5,6.5,1,6,7
39,"p039",1,4,5,33,36000,2.7142857142857144,2.857142857142857,3.2857142857142856,2.928571428571429,4.25,4.25,4.5,4.25,3.75
40,"p040",2,4,1,45,52000,3,3,2.2857142857142856,3.857142857142857,4,6,3,6,4
41,"p041",1,6,3,33,64000,3.7142857142857144,1,2.4285714285714284,1.4285714285714286,7,6.5,3.5,4.5,7
42,"p042",1,6,1,35,120000,4,4,3.4285714285714284,3.857142857142857,4.5,4.5,3,5.5,4.5
43,"p043",1,4,1,30,27000,3.4285714285714284,2.857142857142857,4.571428571428571,4,4,3,6,6,6.5
44,"p044",1,7,1,46,150000,3.2857142857142856,3.857142857142857,3,2.857142857142857,4,3.5,4,5,3
45,"p045",1,5,1,49,37000,4.857142857142857,1.2857142857142858,4.857142857142857,3.2857142857142856,6,6.5,4,6,6.5
46,"p046",2,6,2,38,24000,5,2.142857142857143,3.857142857142857,5,3.5,6,2.5,6,6
47,"p047",2,6,1,35,148000,4.571428571428571,2,1.8571428571428572,4,2.5,6.5,1,4.5,4
48,"p048",2,4,1,25,55000,3.5714285714285716,2.857142857142857,3.5714285714285716,3.142857142857143,5.5,5.5,3.5,4.5,4
49,"p049",2,4,3,34,34000,4.571428571428571,2.142857142857143,4.857142857142857,4.857142857142857,6,6,6.5,6,6
50,"p050",1,7,1,28,165000,3.357142857142857,2.4285714285714284,3.2142857142857144,3.428571428571429,5.75,6.25,3.25,6.75,6
51,"p051",1,6,1,42,25000,3.857142857142857,2.2857142857142856,3.4285714285714284,3,6,5.5,4,4.5,4.5
52,"p052",1,6,1,25,78000,2.7142857142857144,3.142857142857143,4.142857142857143,3.2857142857142856,4,6,4,4.5,4.5
53,"p053",1,4,1,45,40000,2.2857142857142856,1.4285714285714286,3,2.2857142857142856,4,6,2.5,5.5,5.5
54,"p054",2,6,1,33,110000,4.285714285714286,1.2857142857142858,3.857142857142857,4,4.5,7,1.5,7,7
55,"p055",2,6,1,46,22000,3.2857142857142856,2.2857142857142856,4.857142857142857,4.714285714285714,5.5,6.5,2.5,5,5
56,"p056",2,6,1,31,34999,4.285714285714286,2.857142857142857,5,4.571428571428571,7,6.5,2,3.5,4
57,"p057",1,6,3,30,55000,3.142857142857143,3.2857142857142856,3.142857142857143,3.142857142857143,6,5.5,6,5.5,5.5
58,"p058",1,6,1,34,68000,3.142857142857143,1.7142857142857142,3.857142857142857,2.4285714285714284,6,5.5,5.5,5,6.5
59,"p059",2,7,1,35,60000,4.142857142857143,2.142857142857143,3.4285714285714284,4.857142857142857,6,6.5,1.5,7,6
60,"p060",2,6,1,35,32000,1.8571428571428572,3.7142857142857144,2.5714285714285716,3.5714285714285716,4,3,1.5,4.5,2
61,"p061",2,6,1,37,135000,4.857142857142857,3.5714285714285716,4.285714285714286,4.857142857142857,6,6,1.5,7,3
62,"p062",1,6,1,41,28000,3.2857142857142856,4.428571428571429,2.7142857142857144,2.5714285714285716,2,2.5,1.5,2,1
63,"p063",1,5,1,31,82000,3.5714285714285716,2.2857142857142856,1.8571428571428572,2,2.5,3.5,2,4.5,5
64,"p064",2,6,1,30,55000,4,3.142857142857143,4,4,5.5,6.5,2.5,5.5,4.5
65,"p065",1,7,5,41,64000,3.5714285714285716,2.142857142857143,3.4285714285714284,3.7142857142857144,6.5,6,4,4,5
66,"p066",1,6,1,32,15000,3.2857142857142856,2.2857142857142856,3.857142857142857,3.857142857142857,6,5.5,2.5,6.5,6
67,"p067",1,6,1,30,5000,3.4285714285714284,2.857142857142857,3.4285714285714284,2.142857142857143,5.5,3.5,1.5,3.5,4
68,"p068",2,3,1,27,25000,4,2.2857142857142856,3.5714285714285716,3.7142857142857144,6,6,6,6,6
69,"p069",1,6,1,32,50000,3.5714285714285716,3.7142857142857144,2.2857142857142856,2.7142857142857144,4,4.5,4,5,3.5
70,"p070",2,7,5,44,70000,3.7142857142857144,2.4285714285714284,4.857142857142857,4.571428571428571,7,4.5,1.5,7,1.5
71,"p071",1,4,1,19,40000,3,2.7142857142857144,3,2.7142857142857144,4,6,1.5,6,6
72,"p072",1,2,2,20,36000,2.4285714285714284,1.7142857142857142,2.857142857142857,1.4285714285714286,6,6,3,2.5,5.5
73,"p073",2,6,1,47,110000,5,2.142857142857143,3.5714285714285716,5,6.5,7,4.5,5.5,7
74,"p074",2,6,2,28,35000,4.142857142857143,1.7142857142857142,2,3.2857142857142856,5,4.5,1.5,5.5,5.5
